sim_time_s,elapsed_s,x_m,y_m,z_m,control_mode
2.1439999999999855,2.1419999999999857,0.07269700950055984,-0.137751633925397,0.1997390432208969,Rolling
2.1779999999999817,2.175999999999982,0.07562159685570563,-0.1405206426468544,0.19973814504007917,Rolling
2.211999999999978,2.209999999999978,0.07859943418220744,-0.1432542579103527,0.19973703752285277,Rolling
2.2459999999999742,2.2439999999999745,0.08162906014414045,-0.1459495394546602,0.19973572930747016,Rolling
2.2799999999999705,2.2779999999999707,0.0847089290467411,-0.14860356329805818,0.19973423021259043,Rolling
2.3139999999999668,2.311999999999967,0.08783741570917365,-0.1512134314560031,0.19973255110903806,Rolling
2.347999999999963,2.3459999999999632,0.09101282080721815,-0.15377628162439566,0.19973070378018412,Rolling
2.3819999999999593,2.3799999999999595,0.0942333766217497,-0.15628929670715674,0.19972870077390587,Rolling
2.4159999999999555,2.4139999999999557,0.09749725312272708,-0.15874971407112834,0.19972655524921992,Rolling
2.4499999999999518,2.447999999999952,0.10080256431392076,-0.1611548344180865,0.1997242808207212,Rolling
2.483999999999948,2.4819999999999482,0.10414737476089313,-0.16350203017266557,0.19972189140389637,Rolling
2.5179999999999443,2.5159999999999445,0.10752970622383809,-0.16578875329595905,0.1997194010642267,Rolling
2.5519999999999405,2.5499999999999408,0.11094754431776553,-0.16801254244713767,0.19971682387274517,Rolling
2.585999999999937,2.583999999999937,0.11439884512509035,-0.17017102942921147,0.1997141737703999,Rolling
2.619999999999933,2.6179999999999333,0.11788223215860756,-0.17214195054210088,0.19979844274539524,Flying
2.6539999999999293,2.6519999999999295,0.12046949219803224,-0.16727468645802288,0.20032083827162844,Flying
2.6879999999999256,2.685999999999926,0.12348906311199022,-0.1624303373452568,0.205618232834629,Flying
2.721999999999922,2.719999999999922,0.13006425794714688,-0.16129999842192508,0.213272969259535,Flying
2.755999999999918,2.7539999999999183,0.13903985717049816,-0.1624378754855874,0.2231782485772385,Flying
2.7899999999999143,2.7879999999999145,0.1496531233038771,-0.16507817389537097,0.23476873395634926,Flying
2.8239999999999106,2.821999999999911,0.16132719657295191,-0.16874156796764173,0.24741945668169965,Flying
2.857999999999907,2.855999999999907,0.1735808898811919,-0.1730674956580542,0.26054828205900604,Flying
2.891999999999903,2.8899999999999033,0.18599829745358043,-0.17775281538611393,0.2736460419102271,Flying
2.9259999999998993,2.9239999999998996,0.1982216383098891,-0.18253247162022465,0.286284991799365,Flying
2.9599999999998956,2.957999999999896,0.20995187571497376,-0.18717569391477773,0.2981194846429859,Flying
2.993999999999892,2.991999999999892,0.2209509156304378,-0.19148727850040037,0.30888356832518943,Flying
3.027999999999888,3.0259999999998883,0.23104279799159277,-0.19530973967373513,0.31838719390802717,Flying
